fpr,tpr_mean,tpr_lower,tpr_upper
0.0,0.0,0.0,0.0
0.010101010101010102,0.06922773220822676,0.016116431451612904,0.16107315807678999
0.020202020202020204,0.12093970055610098,0.037383177570093455,0.2110184977996569
0.030303030303030304,0.15430271931801018,0.0743801652892562,0.2455108423686405
0.04040404040404041,0.18295758902438733,0.09887955182072829,0.2844845107933838
0.05050505050505051,0.21226151342738467,0.11606437969924813,0.3089467849223947
0.06060606060606061,0.23959705281603494,0.14705882352941177,0.33659274193548383
0.07070707070707072,0.25982332912284317,0.16998728813559325,0.3539963797264682
0.08080808080808081,0.277069427406469,0.189643522833178,0.3716869011921305
0.09090909090909091,0.29358289794952325,0.20583238149628783,0.3805415086388537
0.10101010101010102,0.3062522545320753,0.21666666666666667,0.3918211482076988
0.11111111111111112,0.31731034555814175,0.22879497472494797,0.4052200945987183
0.12121212121212122,0.32634457704950515,0.23929663608562693,0.415843774642951
0.13131313131313133,0.3349491799897844,0.25,0.42453456336617135
0.14141414141414144,0.34306438905034153,0.2561493206331419,0.4327017716535433
0.15151515151515152,0.35210044669935897,0.26443018703784255,0.44715982028241336
0.16161616161616163,0.3602708500538745,0.27270733652312595,0.4519457547169811
0.17171717171717174,0.36814345315509156,0.2796514735074057,0.4628137434955617
0.18181818181818182,0.3752146920773545,0.28567927170868346,0.4710861385473359
0.19191919191919193,0.3824005478461475,0.28971347761928185,0.48740520598483295
0.20202020202020204,0.3907724031998612,0.29626984126984124,0.5001016260162601
0.21212121212121213,0.40221572114541004,0.30247830839652934,0.5132929451658258
0.22222222222222224,0.41552597085525234,0.31191145923489705,0.5309927658378986
0.23232323232323235,0.42999635212813886,0.3245281765018607,0.5426257253384912
0.24242424242424243,0.44466620909824855,0.33593333333333336,0.5567215582519843
0.25252525252525254,0.45853648495806043,0.34948040273282993,0.5689690215867677
0.26262626262626265,0.4704690631861358,0.3589583333333333,0.5740786578657866
0.27272727272727276,0.4809558755850624,0.37007046913253494,0.5904780652418448
0.2828282828282829,0.4898916098370933,0.3867865070556525,0.5943571651333229
0.29292929292929293,0.49907532343240196,0.3939199689199689,0.6034521590556073
0.30303030303030304,0.5094388399468778,0.40174107142857146,0.6190476190476191
0.31313131313131315,0.5204287205877072,0.41025,0.6306415638939911
0.32323232323232326,0.5321987721560383,0.4166666666666667,0.64
0.33333333333333337,0.544109973159899,0.42631088196577444,0.6568763616557735
0.3434343434343435,0.554723456177911,0.43796355159991524,0.6666666666666666
0.3535353535353536,0.566248979720673,0.4582386363636364,0.676820961912705
0.36363636363636365,0.5785665308610491,0.47008333333333335,0.6911228301472203
0.37373737373737376,0.591843515338399,0.4861979534227241,0.710832349468713
0.38383838383838387,0.6061541390862317,0.4948773448773449,0.7247706422018348
0.393939393939394,0.6212698251470604,0.5050505050505051,0.7350628930817611
0.4040404040404041,0.6350495150587933,0.5166666666666667,0.7440274509803921
0.4141414141414142,0.6487777608682211,0.5309599846094653,0.7542410050550103
0.42424242424242425,0.6613996541534878,0.5516266866566717,0.7567567567567568
0.43434343434343436,0.6720867734733156,0.5624283256880734,0.7631578947368421
0.4444444444444445,0.6806965455268026,0.5819634873323398,0.7678736772486773
0.4545454545454546,0.6886235296153967,0.5980898507952123,0.7731114095122585
0.4646464646464647,0.6938465796927847,0.6030281196448045,0.774437933067964
0.4747474747474748,0.6987390728743428,0.6125990214352283,0.7800238095238096
0.48484848484848486,0.7030100938616439,0.6183097498913921,0.7845466155810983
0.494949494949495,0.7071110988615603,0.6190375302663439,0.7884615384615384
0.5050505050505051,0.7108915263395967,0.6259641442568271,0.7909090909090909
0.5151515151515152,0.7147175037453178,0.6310320028766632,0.7916863207547169
0.5252525252525253,0.7188797652031893,0.6311475409836066,0.8
0.5353535353535354,0.7232641538308507,0.639289859277528,0.8023494090735799
0.5454545454545455,0.7284519185522534,0.6396322552060257,0.8166826923076923
0.5555555555555556,0.7353526970439122,0.6475409836065574,0.8301886792452831
0.5656565656565657,0.743187149437815,0.6521739130434783,0.8393119747899159
0.5757575757575758,0.7527126475486099,0.652542372881356,0.8500371287128712
0.5858585858585859,0.7643848887850115,0.6578888098624941,0.8632575757575758
0.595959595959596,0.7778304953137691,0.6637148028962189,0.8727559377559377
0.6060606060606061,0.7921772417076232,0.6766905901116428,0.883937795159386
0.6161616161616162,0.8049453398102016,0.6915121801746591,0.8864545454545454
0.6262626262626263,0.8163245652416582,0.7117950693374422,0.893451690120412
0.6363636363636365,0.8270301785230079,0.7339449541284404,0.9000206611570248
0.6464646464646465,0.8344828840329214,0.7459016393442623,0.9047924297924298
0.6565656565656566,0.8417175460315599,0.7614678899082569,0.909111384111384
0.6666666666666667,0.8476214572877051,0.7749728260869565,0.9099121621621622
0.6767676767676768,0.8521890387471919,0.7856995277449823,0.9148986350863108
0.686868686868687,0.8566252538725325,0.7904511278195488,0.9166857798165137
0.696969696969697,0.8607376861203949,0.7950709894613583,0.9189370173745174
0.7070707070707072,0.8648578728157892,0.7982436021245776,0.923728813559322
0.7171717171717172,0.8688571692541622,0.8053097345132744,0.9262355351976856
0.7272727272727273,0.8730593761314005,0.8108036984352774,0.9339622641509434
0.7373737373737375,0.8767273502764826,0.813532838983051,0.9344395575103293
0.7474747474747475,0.8808076247759404,0.8211286240220893,0.9369369369369369
0.7575757575757577,0.8845314029145858,0.8240604575163398,0.9423155737704918
0.7676767676767677,0.8883580781920842,0.8256599066473523,0.9448962061560486
0.7777777777777778,0.8926424409716984,0.8332964601769912,0.9478373313343328
0.787878787878788,0.8967818154976183,0.8378378378378378,0.9541284403669725
0.797979797979798,0.9018164142477365,0.8429656412610957,0.9606432994419386
0.8080808080808082,0.9075698423430085,0.8481994047619047,0.9655246094901268
0.8181818181818182,0.9144258026872604,0.8521658615136876,0.9716981132075472
0.8282828282828284,0.9234175016370372,0.8611050724637682,0.9818181818181818
0.8383838383838385,0.9337796650354492,0.8666666666666667,0.991869918699187
0.8484848484848485,0.9451562847817804,0.8761043662692899,1.0
0.8585858585858587,0.9579667627582152,0.8888888888888888,1.0
0.8686868686868687,0.9708791618076548,0.9043055021161985,1.0
0.8787878787878789,0.9817604985587458,0.9203451327433628,1.0
0.888888888888889,0.9907387686850841,0.939382373351839,1.0
0.8989898989898991,0.996282434252431,0.959589800443459,1.0
0.9090909090909092,0.9990421269530949,0.9826048817696414,1.0
0.9191919191919192,0.9996214567068483,1.0,1.0
0.9292929292929294,0.9999234756719305,1.0,1.0
0.9393939393939394,1.0,1.0,1.0
0.9494949494949496,1.0,1.0,1.0
0.9595959595959597,1.0,1.0,1.0
0.9696969696969697,1.0,1.0,1.0
0.9797979797979799,1.0,1.0,1.0
0.98989898989899,1.0,1.0,1.0
1.0,1.0,1.0,1.0
